Bacteria,sulfanilamide,penicillin_g,ampicillin,amoxicillin,piperacillin,ticarcillin,cephalexin,cefazolin,cefuroxime,ceftriaxone,ceftazidime,cefepime,ceftaroline,meropenem,imipenem_c,ertapenem,aztreonam,erythromycin,azithromycin,clarithromycin,clindamycin,gentamicin,tobramycin,amikacin,ciprofloxacin,levofloxacin,moxifloxacin,ofloxacin,tetracycline,doxycycline,minocycline,vancomycin,teicoplanin,dalbavancin,linezolid,tedizolid,quinu_dalfo,trim_sulf,chloramphenicol,nitrofurantoin,retapamulin,fusidic_a,metronidazole,furazolidone,rifampicin,amoxicillin_clavulanate,piperacillin_tazobactam,ampicillin_sulbactam,ticarcillin_clavulanate,ceftazidime_avibactam,meropenem_vaborbactam,colistin,cefiderocol,ceftolozane_tazobactam,notes
Acinetobacter baumannii,.,.,.,.,0.7,0.65,.,.,.,.,0.65,0.55,.,0.55,0.5,.,.,.,.,.,.,0.55,0.5,0.35,0.7,0.68,0.65,0.7,0.6,0.55,0.5,.,.,.,.,.,.,0.65,0.6,.,.,.,.,.,0.55,.,0.45,.,0.5,0.25,0.18,0.12,0.05,.,Carbapenem resistance (CRAB) >50% globally (WHO priority); colistin resistance rising (GLASS 2022).
Citrobacter spp.,0.1,.,0.3,0.3,0.3,0.3,0.35,0.35,0.3,0.25,0.35,0.3,0.4,0.1,0.1,0.15,0.3,.,.,.,.,0.3,0.35,0.25,0.35,0.3,0.35,0.35,0.25,0.2,0.15,.,.,.,.,.,.,0.3,0.25,0.15,.,.,.,.,0.2,0.25,0.2,0.3,0.3,0.1,0.1,0.2,0.01,0.04,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians.
Enterobacter spp.,0.1,.,0.4,0.4,0.3,0.35,0.4,0.4,0.35,0.5,0.35,0.3,0.5,0.15,0.15,0.2,0.35,.,.,.,.,0.3,0.35,0.25,0.35,0.3,0.35,0.35,0.25,0.2,0.15,.,.,.,.,.,.,0.35,0.3,0.25,.,.,.,.,0.25,0.3,0.25,0.4,0.35,0.1,0.1,0.2,0.01,0.04,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians.
Enterococcus faecalis,.,0.1,0.1,0.1,0.2,0.2,.,.,.,.,.,.,.,0.2,0.2,.,.,0.4,0.35,0.4,0.45,.,.,.,0.35,0.3,0.35,0.35,0.2,0.15,0.1,0.05,0.1,0.1,0.05,0.05,.,0.3,0.25,0.1,.,.,.,.,.,0.1,0.2,0.1,0.2,.,0.2,.,.,.,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians.
Enterococcus faecium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.6,0.55,0.6,0.65,.,.,.,0.7,0.65,0.7,0.7,0.5,0.45,0.4,0.4,0.45,0.45,0.1,0.1,0.5,0.7,0.65,0.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians.
Escherichia coli,0.35,.,0.58,0.58,0.25,0.28,0.45,0.45,0.35,0.18,0.2,0.15,0.12,0.03,0.03,0.04,0.18,.,.,.,.,0.12,0.15,0.05,0.32,0.3,0.28,0.32,0.45,0.4,0.35,.,.,.,.,.,.,0.42,0.12,0.08,.,.,.,.,0.18,0.12,0.08,0.2,0.22,0.02,0.02,0.01,0.01,0.04,3rd-gen cephalosporin resistance (ESBL) ~15-25%; carbapenem resistance remains low (<3%) globally (Lancet GRAM 2022).
Klebsiella pneumoniae,0.4,.,0.75,0.75,0.35,0.4,0.7,0.7,0.55,0.35,0.32,0.28,0.25,0.12,0.12,0.15,0.32,.,.,.,.,0.18,0.22,0.08,0.38,0.35,0.35,0.38,0.35,0.3,0.25,.,.,.,.,.,.,0.55,0.18,0.3,.,.,.,.,0.25,0.18,0.15,0.45,0.38,0.08,0.05,0.08,0.01,0.04,Carbapenem-resistant (CRKP) ~10-15%; high ESBL prevalence in clinical isolates.
Morganella spp.,0.2,.,0.4,0.4,0.35,0.4,0.4,0.4,0.35,0.35,0.4,0.35,0.5,0.1,0.1,0.15,0.3,.,.,.,.,0.3,0.35,0.25,0.35,0.3,0.35,0.35,0.25,0.2,0.15,.,.,.,.,.,.,0.35,0.3,0.25,.,.,.,.,0.25,0.3,0.25,0.4,0.35,0.1,0.1,0.2,0.01,0.04,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians.
Proteus spp.,0.2,.,0.3,0.3,0.25,0.3,0.3,0.3,0.25,0.2,0.25,0.2,0.3,0.1,0.1,0.1,0.25,.,.,.,.,0.3,0.35,0.25,0.3,0.25,0.3,0.3,0.2,0.15,0.1,.,.,.,.,.,.,0.3,0.25,0.1,.,.,.,.,0.2,0.2,0.15,0.25,0.25,0.1,0.1,0.2,0.01,0.04,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians.
Serratia spp.,0.2,.,.,.,0.4,0.45,.,.,0.4,0.35,0.3,0.35,0.5,0.1,0.1,0.15,0.3,.,.,.,.,0.35,0.4,0.3,0.3,0.25,0.3,0.3,0.2,0.15,0.1,.,.,.,.,.,.,0.35,0.3,0.2,.,.,.,.,0.25,0.35,0.25,0.4,0.35,0.1,0.1,0.2,0.01,0.04,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians.
